,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_Cat,FamilySize
0,0,3,1,1.0,1,0,7.25,2,5,2
1,1,1,0,2.0,1,0,71.2833,0,0,2
2,1,3,0,1.0,0,0,7.925,2,5,1
3,1,1,0,2.0,1,0,53.1,2,0,2
4,0,3,1,2.0,0,0,8.05,2,0,1
5,0,3,1,1.0,0,0,8.4583,1,5,1
6,0,1,1,3.0,0,0,51.8625,2,0,1
7,0,3,1,0.0,3,1,21.075,2,1,5
8,1,3,0,1.0,0,2,11.1333,2,5,3
9,1,2,0,0.0,1,0,30.0708,0,4,2
10,1,3,0,0.0,1,1,16.7,2,2,3
11,1,1,0,3.0,0,0,26.55,2,0,1
12,0,3,1,1.0,0,0,8.05,2,5,1
13,0,3,1,2.0,1,5,31.275,2,0,7
14,0,3,0,0.0,0,0,7.8542,2,4,1
15,1,2,0,3.0,0,0,16.0,2,0,1
16,0,3,1,0.0,4,1,29.125,1,1,6
17,1,2,1,1.0,0,0,13.0,2,5,1
18,0,3,0,1.0,1,0,18.0,2,0,2
19,1,3,0,1.0,0,0,7.225,0,5,1
20,0,2,1,2.0,0,0,26.0,2,0,1
21,1,2,1,2.0,0,0,13.0,2,0,1
22,1,3,0,0.0,0,0,8.0292,1,4,1
23,1,1,1,1.0,0,0,35.5,2,5,1
24,0,3,0,0.0,3,1,21.075,2,4,5
25,1,3,0,2.0,1,5,31.3875,2,0,7
26,0,3,1,1.0,0,0,7.225,0,5,1
27,0,1,1,1.0,3,2,263.0,2,5,6
28,1,3,0,1.0,0,0,7.8792,1,5,1
29,0,3,1,1.0,0,0,7.8958,2,5,1
30,0,1,1,2.0,0,0,27.7208,0,0,1
31,1,1,0,1.0,1,0,146.5208,0,5,2
32,1,3,0,1.0,0,0,7.75,1,5,1
33,0,2,1,4.0,0,0,10.5,2,3,1
34,0,1,1,1.0,1,0,82.1708,0,5,2
35,0,1,1,2.0,1,0,52.0,2,0,2
36,1,3,1,1.0,0,0,7.2292,0,5,1
37,0,3,1,1.0,0,0,8.05,2,5,1
38,0,3,0,1.0,2,0,18.0,2,5,3
39,1,3,0,0.0,1,0,11.2417,0,4,2
40,0,3,0,2.0,1,0,9.475,2,0,2
41,0,2,0,1.0,1,0,21.0,2,5,2
42,0,3,1,1.0,0,0,7.8958,0,5,1
43,1,2,0,0.0,1,2,41.5792,0,1,4
44,1,3,0,1.0,0,0,7.8792,1,5,1
45,0,3,1,1.0,0,0,8.05,2,5,1
46,0,3,1,1.0,1,0,15.5,1,5,2
47,1,3,0,1.0,0,0,7.75,1,5,1
48,0,3,1,1.0,2,0,21.6792,0,5,3
49,0,3,0,1.0,1,0,17.8,2,5,2
50,0,3,1,0.0,4,1,39.6875,2,2,6
51,0,3,1,1.0,0,0,7.8,2,5,1
52,1,1,0,3.0,1,0,76.7292,0,0,2
53,1,2,0,1.0,1,0,26.0,2,5,2
54,0,1,1,4.0,0,1,61.9792,0,3,2
55,1,1,1,1.0,0,0,35.5,2,5,1
56,1,2,0,1.0,0,0,10.5,2,5,1
57,0,3,1,1.0,0,0,7.2292,0,5,1
58,1,2,0,0.0,1,2,27.75,2,2,4
59,0,3,1,0.0,5,2,46.9,2,4,8
60,0,3,1,1.0,0,0,7.2292,0,5,1
61,1,1,0,2.0,0,0,80.0,2,0,1
62,0,1,1,2.0,1,0,83.475,2,0,2
63,0,3,1,0.0,3,2,27.9,2,2,6
64,0,1,1,1.0,0,0,27.7208,0,5,1
65,1,3,1,1.0,1,1,15.2458,0,5,3
66,1,2,0,1.0,0,0,10.5,2,5,1
67,0,3,1,1.0,0,0,8.1583,2,5,1
68,1,3,0,1.0,4,2,7.925,2,5,7
69,0,3,1,1.0,2,0,8.6625,2,5,3
70,0,2,1,1.0,0,0,10.5,2,0,1
71,0,3,0,0.0,5,2,46.9,2,5,8
72,0,2,1,1.0,0,0,73.5,2,5,1
73,0,3,1,1.0,1,0,14.4542,0,5,2
74,1,3,1,1.0,0,0,56.4958,2,0,1
75,0,3,1,1.0,0,0,7.65,2,5,1
76,0,3,1,1.0,0,0,7.8958,2,5,1
77,0,3,1,1.0,0,0,8.05,2,5,1
78,1,2,1,0.0,0,2,29.0,2,1,3
79,1,3,0,1.0,0,0,12.475,2,5,1
80,0,3,1,1.0,0,0,9.0,2,5,1
